98,229800
118,22500
89,16300
85,175900
128,24400
40,9000
29,7400
47,14100
91,18600
85,33400
44,9900
40,8400
48,11800
54,13800
62,16600
40,8700
38,8600
42,7400
58,13600
42,7500
56,11900
38,22900
57,10200
40,5300
39,5000
152,28100
55,8800
38,5200
42,3300
59,7900
40,3400
40,4300
72,12000
40,4600
46,6500
84,11900
58,8700
54,7600
42,4300
42,3300
50,6400
59,9100
60,9200
44,6800
40,4300
38,3200
56,8300
55,10100
42,3500
49,8100
55,8000
72,11200
40,3600
56,9100
36,3200
46,6200
77,11300
80,14000
42,3800
48,6500
58,6800
59,9700
33,3600
42,3600
35,3700
40,3100
53,8100
55,9000
44,4700
35,3400
54,9700
58,27200
33,5800
58,9000
38,6300
120,15000
60,12400
80,11800
54,6800
114,13500
109,12200
40,3400
40,3200
120,12200
40,3400
39,3900
33,3400
31,3300
53,7600
40,3100
71,11100
44,5300
42,4100
44,3200
132,15000
46,6300
40,4100
66,11600
48,9300
42,3100
38,3000
55,7200
44,5100
48,4900
60,6600
63,7900
39,3600
40,3300
43,7200
48,5900
48,5900
61,6300
60,7200
44,5100
65,6200
40,3300
118,12200
37,4200
35,3100
42,3200
38,3000
96,9400
40,3400
31,3500
53,5700
37,3300
42,3900
60,14000
38,2600
33,3700
68,10300
90,8700
38,2900
60,7600
44,5800
40,3100
56,8300
44,9900
40,2800
54,6000
42,3800
35,1600
94,9800
40,3200
42,3600
57,6800
57,6800
40,3500
40,6100
38,3900
57,6600
81,8300
60,7300
35,3700
58,17600
109,13700
187,18300
157,17100
38,3400
87,10400
60,7200
49,7200
38,2700
46,5100
50,6000
40,2900
96,11000
52,6800
40,2800
40,3400
134,13600
62,6800
40,2500
59,6200
40,2800
40,2800
81,9500
48,4800
33,3500
61,5800
74,8400
81,9300
48,4500
38,3600
131,12900
184,17900
45,6300
38,2600
54,6800
98,11500
40,3300
102,11100
53,7000
42,3200
37,3100
44,3100
44,5000
38,3000
57,7100
58,7300
40,2800
54,5500
59,5600
39,2800
78,9500
40,2200
40,2700
56,5600
44,3100
55,5200
69,9200
38,2200
35,3300
95,10400
40,3500
61,5700
44,4400
59,6100
51,5400
36,3400
38,2500
42,2400
60,5600
40,3100
51,5600
56,12100
54,5100
51,5500
57,6000
44,2500
36,2500
149,13700
36,2400
72,8500
46,5500
55,5800
46,5000
37,3500
54,8500
91,10100
46,5100
36,3200
75,8900
45,6100
40,2700
62,6600
42,2600
36,4100
95,11800
61,6200
40,2800
38,2300
33,3100
42,2600
44,5300
46,5500
44,3700
38,4500
38,2600
44,4700
51,6700
65,5500
79,8600
42,2600
40,3800
40,3600
63,8100
141,13400
40,2600
50,5200
38,2300
53,6100
54,5500
